"R0000100","R9900002"
1,-4
2,1993
3,1981
4,1980
5,1989
6,1991
7,1990
8,1976
9,1991
10,1983
11,-4
12,1989
13,1989
14,-4
15,1997
16,1990
17,-4
18,1983
19,1987
20,1990
21,-4
22,-4
23,-4
24,1986
25,1990
26,1995
27,1988
28,-4
29,-4
30,1982
31,1989
32,-4
33,-4
34,1988
35,1990
36,-4
37,1990
38,-4
39,1996
40,2003
41,2000
42,1992
43,1982
44,1981
45,1993
46,1994
47,-4
48,1979
49,1982
50,1985
51,1978
52,1981
53,-4
54,1980
55,-4
56,-4
57,1979
58,1981
59,-4
60,1988
61,1993
62,1996
63,1992
64,-4
65,-4
66,1992
67,1994
68,1993
69,1992
70,2001
71,1997
72,-4
73,2009
74,-4
75,1994
76,1997
77,-4
78,1989
79,1990
80,-4
81,2007
82,1979
83,-4
84,1982
85,1979
86,1977
87,1982
88,1982
89,1986
90,1993
91,1994
92,1982
93,1991
94,-4
95,1985
96,1980
97,1987
98,1987
99,1987
100,1985
101,1983
102,1992
103,1992
104,-4
105,-4
106,-4
107,-4
108,1995
109,-4
110,1984
111,1982
112,1982
113,-4
114,1982
115,1993
116,-4
117,1986
118,1981
119,-4
120,-4
121,1992
122,1993
123,1990
124,1988
125,-4
126,1985
127,-4
128,1982
129,-4
130,-4
131,-4
132,-4
133,1992
134,1991
135,1995
136,-4
137,1988
138,1989
139,1992
140,1993
141,-4
142,-4
143,1985
144,1992
145,-4
146,1986
147,1987
148,-4
149,1991
150,-4
151,-4
152,-4
153,1985
154,-4
155,1987
156,1979
157,1985
158,1985
159,1985
160,1990
161,1994
162,1990
163,-4
164,-4
165,1988
166,1990
167,1985
168,1988
169,-4
170,-4
171,1990
172,1993
173,-4
174,1985
175,1982
176,-4
177,-4
178,-4
179,1981
180,1978
181,1993
182,-4
183,1984
184,1999
185,1997
186,1991
187,-4
188,1985
189,-4
190,1995
191,1994
192,1991
193,1988
194,1993
195,1995
196,1991
197,1989
198,2001
199,-4
200,1983
201,1989
202,-4
203,1986
204,1975
205,1978
206,1984
207,1987
208,1975
209,-4
210,1999
211,1996
212,1991
213,-4
214,-4
215,1987
216,-4
217,-4
218,1988
219,-4
220,-4
221,1986
222,1985
223,1981
224,1974
225,-4
226,1982
227,1975
228,1980
229,1992
230,-4
231,1990
232,1986
233,1985
234,1980
235,1991
236,1988
237,1981
238,-4
239,1980
240,1984
241,-4
242,1986
243,1984
244,1975
245,1992
246,1991
247,1986
248,1983
249,1982
250,1982
251,-4
252,1983
253,-4
254,1981
255,1983
256,1980
257,1999
258,1980
259,1980
260,1985
261,2000
262,1985
263,1991
264,-4
265,1990
266,-4
267,-4
268,1991
269,1990
270,1987
271,-4
272,1984
273,1992
274,1979
275,1991
276,-4
277,-4
278,1987
279,-4
280,-4
281,1995
282,1991
283,1984
284,-4
285,1977
286,-4
287,1981
288,1979
289,1981
290,1979
291,-4
292,1990
293,1985
294,1983
295,-4
296,1987
297,1978
298,1989
299,-4
300,-4
301,1988
302,1987
303,1991
304,-4
305,1980
306,-4
307,-4
308,-4
309,1984
310,1990
311,-4
312,1983
313,1984
314,1981
315,-4
316,1990
317,1992
318,1992
319,-4
320,1991
321,1989
322,1988
323,1982
324,1984
325,-4
326,-4
327,-4
328,-4
329,1981
330,1990
331,2013
332,1985
333,1980
334,-4
335,1989
336,1982
337,1978
338,1980
339,1981
340,1981
341,-4
342,1996
343,1978
344,1990
345,1988
346,1994
347,1989
348,1985
349,1984
350,1997
351,1985
352,-4
353,-4
354,1989
355,1992
356,-4
357,1994
358,1994
359,-4
360,-4
361,1989
362,-4
363,-4
364,1987
365,1987
366,1995
367,-4
368,-4
369,1991
370,-4
371,1986
372,1993
373,1981
374,1980
375,1980
376,1990
377,1982
378,1996
379,1983
380,1976
381,1977
382,1976
383,1993
384,1982
385,1986
386,-4
387,-4
388,1987
389,1983
390,1979
391,1982
392,1987
393,2000
394,1980
395,1984
396,1987
397,1976
398,1979
399,1984
400,1990
401,1982
402,1981
403,-4
404,-4
405,1991
406,-4
407,1994
408,1980
409,1983
410,1984
411,1981
412,1989
413,-4
414,1986
415,1989
416,1984
417,1985
418,1988
419,1999
420,1990
421,1988
422,1986
423,1995
424,1978
425,1976
426,1980
427,1980
428,1982
429,1992
430,1993
431,1987
432,-4
433,-4
434,1989
435,1983
436,-4
437,1981
438,1987
439,1994
440,-4
441,-4
442,1975
443,1987
444,1990
445,2008
446,1981
447,-4
448,-4
449,1996
450,-4
451,1985
452,1994
453,-4
454,-4
455,1989
456,-4
457,1992
458,1993
459,1991
460,-4
461,-4
462,1995
463,-4
464,1983
465,1984
466,1981
467,1985
468,1989
469,-2
470,1979
471,1979
472,1998
473,1977
474,1989
475,1993
476,1990
477,1984
478,1975
479,1985
480,-4
481,1988
482,1988
483,1989
484,1988
485,1980
486,-4
487,-4
488,1990
489,1991
490,1980
491,1974
492,1989
493,2001
494,1985
495,1986
496,-4
497,1982
498,1987
499,1981
500,-4
501,1999
502,1989
503,1981
504,1981
505,1985
506,1992
507,1985
508,1979
509,-4
510,-4
511,1984
512,1988
513,1989
514,1986
515,1987
516,-4
517,-4
518,1992
519,1989
520,1984
521,-4
522,1978
